frame	position	phase	lumen_area	lumen_circumf	longest_distance	shortest_distance	elliptic_ratio	vector_length	vector_angle	measurement_1	measurement_2
677	22.43	-	8.54	10.44	3.61	3.00	1.20	1.28	350.17		
678	22.47	S	8.44	10.41	3.60	2.99	1.21	1.26	351.45		
679	22.50	-	7.22	9.80	3.67	2.56	1.43	1.27	325.42		
680	22.53	-	8.08	10.32	3.81	2.68	1.42	1.29	313.66		
681	22.57	-	9.13	10.94	3.90	2.88	1.35	1.30	299.38		
682	22.60	-	8.84	10.71	3.84	2.90	1.33	1.24	295.21		
683	22.63	-	7.91	10.10	3.63	2.79	1.30	1.32	286.85		
684	22.67	D	7.41	9.83	5.53	4.09	1.35	1.25	296.45		
685	22.70	-	7.00	9.68	3.59	2.37	1.51	1.29	308.01		
686	22.73	-	7.88	10.14	3.64	2.67	1.36	1.32	315.39		
687	22.77	-	8.79	10.60	3.70	3.03	1.22	1.31	323.94		
688	22.80	-	9.07	10.75	3.62	3.20	1.13	1.32	333.29		
689	22.83	S	8.30	10.28	3.54	2.98	1.19	1.32	346.72		
690	22.87	-	8.10	10.16	3.52	2.92	1.20	1.20	349.74		
691	22.90	-	7.65	9.95	3.60	2.77	1.30	1.24	342.83		
692	22.93	-	7.72	10.11	3.78	2.59	1.46	1.31	311.59		
693	22.97	-	8.82	10.69	3.86	2.92	1.32	1.35	307.01		
694	23.00	-	9.52	11.13	3.99	2.98	1.34	1.35	302.26		
695	23.03	-	8.54	10.50	3.74	2.91	1.29	1.20	294.85		
696	23.06	D	8.42	10.46	5.88	4.43	1.33	1.32	299.14		
697	23.10	-	7.33	9.81	3.59	2.55	1.41	1.22	304.89		
698	23.13	-	7.74	10.09	3.67	2.64	1.39	1.32	312.39		
699	23.16	-	8.59	10.48	3.63	2.99	1.21	1.31	324.95		
700	23.20	-	9.40	10.91	3.64	3.34	1.09	1.31	332.01		
701	23.23	S	9.00	10.68	3.62	3.17	1.14	1.27	344.01		
702	23.26	-	7.63	9.86	3.37	2.87	1.17	1.16	347.44		
703	23.30	-	7.09	9.52	3.24	2.82	1.15	1.17	343.37		
704	23.33	-	7.48	9.94	3.65	2.57	1.42	1.26	317.95		
705	23.36	-	7.97	10.19	3.68	2.77	1.33	1.37	307.41		
706	23.40	D	9.61	11.15	6.18	4.78	1.29	1.30	300.28		
707	23.43	-	8.85	10.68	3.80	3.01	1.26	1.28	297.47		
708	23.46	-	8.30	10.39	3.77	2.81	1.34	1.35	299.65		
709	23.50	-	7.99	10.22	3.72	2.70	1.38	1.26	306.93		
710	23.53	-	9.10	10.76	3.69	3.12	1.18	1.35	323.40		
711	23.56	-	8.48	10.42	3.65	2.97	1.23	1.31	327.19		
712	23.60	S	8.96	10.67	3.65	3.20	1.14	1.29	339.48		
713	23.63	-	8.75	10.61	3.70	3.00	1.23	1.31	345.51		
714	23.66	-	8.82	10.64	3.74	3.04	1.23	1.31	343.74		
715	23.70	-	8.61	10.57	3.76	2.88	1.31	1.34	334.98		
716	23.73	-	7.93	10.19	3.74	2.66	1.40	1.30	313.18		
717	23.76	-	8.61	10.63	3.90	2.78	1.40	1.33	312.10		
718	23.79	-	9.30	10.96	3.89	3.00	1.30	1.30	310.19		
719	23.83	D	9.78	11.16	6.03	5.02	1.20	1.25	305.96		
