,frame,signal_maxima,signal_extrema,signal_maxima_nor,signal_extrema_nor
58,59,-0.0005219526907187856,-0.00022778159159559858,-0.0007433804435356406,-0.0003413283638903697
59,60,-0.00025012243012604457,-0.00015713534723303717,-0.0005959424769625654,-0.00033787852314961034
60,61,1.6695057915655133e-05,-4.923802738243305e-05,-0.0003625175577032472,-0.0003238157169429601
61,62,0.00026281191726654603,8.282631439804338e-05,-6.288107649144402e-05,-0.0003505710747526373
62,63,0.00046953965183048997,0.00021754992380886267,0.00016934266433668354,0.0002817594152589572
63,64,0.0006158703344758371,0.00033113955384893236,0.00027641931124051494,0.000272555305356936
64,65,0.000683280749924876,0.0004041399174655572,0.0003017792549615742,0.00028894025816410073
65,66,0.0006625850791051254,0.0004265497204435476,0.00017229741441747795,0.00018152500928730775
66,67,0.0005596489741027455,0.0003999978775570727,-5.9416874322062566e-05,0.000195349336708106
67,68,0.00039706850199108546,0.000336514037190069,-0.00041356669539974433,0.00017232659985840792
